"variable" "description"
"2" "PFNLWT" "Final Weight for School"
"3" "REPW1" "Replicate Weight 1"
"4" "REPW2" "Replicate Weight 2"
"5" "REPW3" "Replicate Weight 3"
"6" "REPW4" "Replicate Weight 4"
"7" "REPW5" "Replicate Weight 5"
"8" "REPW6" "Replicate Weight 6"
"9" "REPW7" "Replicate Weight 7"
"10" "REPW8" "Replicate Weight 8"
"11" "REPW9" "Replicate Weight 9"
"12" "REPW10" "Replicate Weight 10"
"13" "REPW11" "Replicate Weight 11"
"14" "REPW12" "Replicate Weight 12"
"15" "REPW13" "Replicate Weight 13"
"16" "REPW14" "Replicate Weight 14"
"17" "REPW15" "Replicate Weight 15"
"18" "REPW16" "Replicate Weight 16"
"19" "REPW17" "Replicate Weight 17"
"20" "REPW18" "Replicate Weight 18"
"21" "REPW19" "Replicate Weight 19"
"22" "REPW20" "Replicate Weight 20"
"23" "REPW21" "Replicate Weight 21"
"24" "REPW22" "Replicate Weight 22"
"25" "REPW23" "Replicate Weight 23"
"26" "REPW24" "Replicate Weight 24"
"27" "REPW25" "Replicate Weight 25"
"28" "REPW26" "Replicate Weight 26"
"29" "REPW27" "Replicate Weight 27"
"30" "REPW28" "Replicate Weight 28"
"31" "REPW29" "Replicate Weight 29"
"32" "REPW30" "Replicate Weight 30"
"33" "REPW31" "Replicate Weight 31"
"34" "REPW32" "Replicate Weight 32"
"35" "REPW33" "Replicate Weight 33"
"36" "REPW34" "Replicate Weight 34"
"37" "REPW35" "Replicate Weight 35"
"38" "REPW36" "Replicate Weight 36"
"39" "REPW37" "Replicate Weight 37"
"40" "REPW38" "Replicate Weight 38"
"41" "REPW39" "Replicate Weight 39"
"42" "REPW40" "Replicate Weight 40"
"43" "REPW41" "Replicate Weight 41"
"44" "REPW42" "Replicate Weight 42"
"45" "REPW43" "Replicate Weight 43"
"46" "REPW44" "Replicate Weight 44"
"47" "REPW45" "Replicate Weight 45"
"48" "REPW46" "Replicate Weight 46"
"49" "REPW47" "Replicate Weight 47"
"50" "REPW48" "Replicate Weight 48"
"51" "REPW49" "Replicate Weight 49"
"52" "REPW50" "Replicate Weight 50"
"53" "REPW51" "Replicate Weight 51"
"54" "REPW52" "Replicate Weight 52"
"55" "REPW53" "Replicate Weight 53"
"56" "REPW54" "Replicate Weight 54"
"57" "REPW55" "Replicate Weight 55"
"58" "REPW56" "Replicate Weight 56"
"59" "REPW57" "Replicate Weight 57"
"60" "REPW58" "Replicate Weight 58"
"61" "REPW59" "Replicate Weight 59"
"62" "REPW60" "Replicate Weight 60"
"63" "REPW61" "Replicate Weight 61"
"64" "REPW62" "Replicate Weight 62"
"65" "REPW63" "Replicate Weight 63"
"66" "REPW64" "Replicate Weight 64"
"67" "REPW65" "Replicate Weight 65"
"68" "REPW66" "Replicate Weight 66"
"69" "REPW67" "Replicate Weight 67"
"70" "REPW68" "Replicate Weight 68"
"71" "REPW69" "Replicate Weight 69"
"72" "REPW70" "Replicate Weight 70"
"73" "REPW71" "Replicate Weight 71"
"74" "REPW72" "Replicate Weight 72"
"75" "REPW73" "Replicate Weight 73"
"76" "REPW74" "Replicate Weight 74"
"77" "REPW75" "Replicate Weight 75"
"78" "REPW76" "Replicate Weight 76"
"79" "REPW77" "Replicate Weight 77"
"80" "REPW78" "Replicate Weight 78"
"81" "REPW79" "Replicate Weight 79"
"82" "REPW80" "Replicate Weight 80"
"83" "REPW81" "Replicate Weight 81"
"84" "REPW82" "Replicate Weight 82"
"85" "REPW83" "Replicate Weight 83"
"86" "REPW84" "Replicate Weight 84"
"87" "REPW85" "Replicate Weight 85"
"88" "REPW86" "Replicate Weight 86"
"89" "REPW87" "Replicate Weight 87"
"90" "REPW88" "Replicate Weight 88"
"91" "CSOURCE" "Method of Interview"
"92" "P135" "4A Ungraded Offered"
"93" "P140" "4A Ungraded Enrollment"
